IRIS,IRIS_NAME,Nb_BT
23070000,La Ferté-Milon,38
23080000,Fesmy-le-Sart,21
23090000,Festieux,8
23100000,Fieulaine,6
23110000,Filain,2
23120000,La Flamengrie,46
23130000,Flavigny-le-Grand-et-Beaurain,15
23150000,Flavy-le-Martel,24
23160000,Fleury,5
23170000,Fluquières,6
23180000,Folembray,19
23190000,Fonsomme,6
23200000,Fontaine-lès-Clercs,6
23220000,Fontaine-Notre-Dame,4
23230000,Fontaine-Uterte,2
23240000,Fontenelle,13
23260000,Fontenoy,14
23270000,Foreste,7
23280000,Fossoy,10
23290000,Fourdrain,11
23300000,Francilly-Selency,7
23320000,Fresnes-en-Tardenois,7
23330000,Fresnes,2
23340000,Fresnoy-le-Grand,34
23350000,Fressancourt,4
23360000,Frières-Faillouël,14
23370000,Froidestrées,10
23380000,Froidmont-Cohartille,8
23390000,Gandelu,13
23400101,Nord,26
23400201,Centre,15
23400301,Sud,27
23420000,Gergny,6
23430000,Germaine,2
23440000,Gernicourt,2
23450000,Gibercourt,1
23460000,Gizy,11
23470000,Gland,8
23490000,Goudelancourt-lès-Berrieux,2
23500000,Goudelancourt-lès-Pierrepont,4
23510000,Goussancourt,6
23520000,Gouy,16
23530000,Grandlup-et-Fay,8
23540000,Grandrieux,4
23550000,Gricourt,15
23560000,Grisolles,9
23580000,Grougis,11
23590000,Grugies,12
23600000,Guignicourt,24
23610000,Guise,56
23630000,Guny,17
23640000,Guyencourt,3
23660000,Hannapes,6
23670000,Happencourt,5
23680000,Haramont,12
23700000,Hargicourt,11
23710000,Harly,19
23740000,Lehaucourt,12
23750000,Hautevesnes,2
23760000,Hauteville,10
23790000,Le Hérie-la-Viéville,10
23800000,Hinacourt,1
23810101,Centre Ville,34
23810201,Champ Roland,20
23810301,Europe Futaie,17
23810401,Champs Elysees,14
23820000,Holnon,14
23830000,Homblières,15
23850000,Housset,5
23860000,Iron,9
23870000,Itancourt,16
23890000,Jaulgonne,7
23900000,Jeancourt,4
23920000,Joncourt,5
23950000,Jumencourt,7
23960000,Jumigny,2
23970000,Jussy,27
23990000,Juvincourt-et-Damary,10
24000000,Laffaux,3
24020000,Lanchy,2
24030000,Landifay-et-Bertaignemont,8
24060000,Landricourt,5
24070000,Laniscourt,4
24080101,Saint-Exupery-Moulin Roux,18
24080102,Centre Social,4
24080103,La Fontaine,5
24080201,Cite du Nord,30
24080301,Gare Saint-Marcel,16
24080401,Individuels,4
24080402,Prevert Maraichers,17
24080501,Plateau,27
24080601,Vaux,13
24080701,Zone Industrielle,28
24080801,Montreuil-La Neuville-Marquette,26
24080901,Ardon-Leuilly-Semilly,28
24090000,Lappion,7
24100000,Largny-sur-Automne,2
24110000,Latilly,10
24120000,Launoy,2
24130000,Laval-en-Laonnois,4
24140000,Lavaqueresse,6
24150000,Laversine,4
24160000,Lemé,9
24170000,Lempire,2
24180000,Lerzy,18
24190000,Leschelle,15
24200000,Lesdins,12
24220000,Lesquielles-Saint-Germain,18
24230000,Leuilly-sous-Coucy,1
24260000,Levergies,8
24270000,Lhuys,3
24280000,Licy-Clignon,3
24290000,Lierval,6
24300000,Liesse-Notre-Dame,15
24310000,Liez,10
24320000,Limé,2
24330000,Lislet,9
24340000,Lizy,4
24380000,Longpont,10
24400000,Lor,7
24410000,Louâtre,10
24420000,Loupeigne,5
24430000,Lucy-le-Bocage,6
24450000,Luzoir,10
24460000,Ly-Fontaine,2
24480000,Mâchecourt,4
24490000,Macogny,7
24500000,Macquigny,11
