,x,y,xGPS,yGPS,xyGPS,Feeder,Geo,Geo_Name
N743,1592162.721700286,7767215.708523074,1.632806874204583,45.100950468890076,"(1.632806874204583, 45.100950468890076)",F18,191050000,Lanteuil
N744,1592329.27962055,7767480.252474292,1.6348577837045757,45.1033522495901,"(1.6348577837045757, 45.1033522495901)",F18,191050000,Lanteuil
N745,1592341.6922457446,7767413.789564221,1.6350302775045709,45.1027576004901,"(1.6350302775045709, 45.1027576004901)",F18,191050000,Lanteuil
N746,1592944.1686850546,7767454.758852594,1.6426579898045437,45.103222377190114,"(1.6426579898045437, 45.103222377190114)",F18,191050000,Lanteuil
N747,1592041.2866504802,7765814.659378897,1.6315877682045792,45.088353391990054,"(1.6315877682045792, 45.088353391990054)",F18,191500000,Noailhac
N748,1592225.729531459,7765844.150746248,1.6339184114045695,45.088647962690075,"(1.6339184114045695, 45.088647962690075)",F18,191500000,Noailhac
N749,1592504.8647054222,7766086.667054314,1.6374006307045628,45.09087009949006,"(1.6374006307045628, 45.09087009949006)",F18,191500000,Noailhac
N750,1592400.3251120844,7765870.261736482,1.6361250576045667,45.08891054849008,"(1.6361250576045667, 45.08891054849008)",F18,191500000,Noailhac
N751,1592446.9598217818,7765933.762730244,1.6367015937045646,45.089488124690064,"(1.6367015937045646, 45.089488124690064)",F18,191500000,Noailhac
N752,1592517.6417414902,7765973.277070144,1.6375883486045577,45.08985424199006,"(1.6375883486045577, 45.08985424199006)",F18,191500000,Noailhac
N753,1592528.6054986515,7765957.19955367,1.6377309484045597,45.08971167859006,"(1.6377309484045597, 45.08971167859006)",F18,191500000,Noailhac
N754,1592706.3645802543,7766239.952323019,1.6399194722045525,45.09227860399008,"(1.6399194722045525, 45.09227860399008)",F18,191500000,Noailhac
N755,1592187.405395315,7765424.661729384,1.6335284413045756,45.08487598039006,"(1.6335284413045756, 45.08487598039006)",F18,191500000,Noailhac
N756,1592750.7152929842,7766261.619351087,1.6404766344045538,45.09248024449008,"(1.6404766344045538, 45.09248024449008)",F18,191500000,Noailhac
N757,1592801.4401336622,7766270.878288915,1.6411173993045487,45.09257151719007,"(1.6411173993045487, 45.09257151719007)",F18,191500000,Noailhac
N758,1593345.2811713063,7766692.479305907,1.6479146627045256,45.09644348579006,"(1.6479146627045256, 45.09644348579006)",F18,191500000,Noailhac
N759,1593406.7908501716,7766223.358427261,1.6488001103045231,45.09224193329008,"(1.6488001103045231, 45.09224193329008)",F18,191500000,Noailhac
N760,1593815.3859083494,7766191.443223674,1.6539856395045076,45.09202059289007,"(1.6539856395045076, 45.09202059289007)",F18,190990000,Lagleygeolle
N761,1593352.0368868082,7765242.770475126,1.6483274784045263,45.083430317790054,"(1.6483274784045263, 45.083430317790054)",F18,190570000,Collonges-la-Rouge
N762,1593354.845515017,7765241.249240087,1.6483634111045276,45.083417110490046,"(1.6483634111045276, 45.083417110490046)",F18,190570000,Collonges-la-Rouge
N763,1592503.6873604897,7763663.208873214,1.6379368162045622,45.069114435289976,"(1.6379368162045622, 45.069114435289976)",F18,190570000,Collonges-la-Rouge
N764,1593915.9661387063,7765722.959161795,1.6553655197044983,45.087830939290036,"(1.6553655197044983, 45.087830939290036)",F18,190570000,Collonges-la-Rouge
N765,1592577.1266384802,7763502.925090408,1.6389035591045538,45.06768740318999,"(1.6389035591045538, 45.06768740318999)",F18,190570000,Collonges-la-Rouge
N766,1592581.0354558653,7763492.76634423,1.6389553824045546,45.06759683798999,"(1.6389553824045546, 45.06759683798999)",F18,191150000,Ligneyrac
N767,1594347.4085815537,7766188.940342426,1.6607288070044868,45.09208260249007,"(1.6607288070044868, 45.09208260249007)",F18,190990000,Lagleygeolle
N768,1594344.1759620153,7766152.384984978,1.6606960124044856,45.09175392609008,"(1.6606960124044856, 45.09175392609008)",F18,190990000,Lagleygeolle
N769,1592857.8111792074,7763592.715754618,1.64243885760454,45.06853857049,"(1.64243885760454, 45.06853857049)",F18,190570000,Collonges-la-Rouge
N770,1593376.454774086,7764119.709513845,1.6488901900045219,45.07335244979002,"(1.6488901900045219, 45.07335244979002)",F18,190570000,Collonges-la-Rouge
N771,1592990.6454756306,7763565.00335447,1.6441278670045385,45.068311110690004,"(1.6441278670045385, 45.068311110690004)",F18,190570000,Collonges-la-Rouge
N772,1592528.1895536266,7762880.3984127985,1.638425090904556,45.06209116038997,"(1.638425090904556, 45.06209116038997)",F18,191150000,Ligneyrac
N773,1593006.4579402478,7763439.757673727,1.644356513104536,45.067189322489966,"(1.644356513104536, 45.067189322489966)",F18,190570000,Collonges-la-Rouge
N774,1593156.7513627703,7763635.501116337,1.6462161534045296,45.068970580090024,"(1.6462161534045296, 45.068970580090024)",F18,190570000,Collonges-la-Rouge
N775,1593155.000874998,7763616.971405249,1.6461981646045307,45.06880395938996,"(1.6461981646045307, 45.06880395938996)",F18,190570000,Collonges-la-Rouge
N776,1594696.5663673843,7766218.991715105,1.6651471825044677,45.092407590990064,"(1.6651471825044677, 45.092407590990064)",F18,190990000,Lagleygeolle
N777,1594700.546518076,7766215.173597371,1.6651984764044707,45.09237394329007,"(1.6651984764044707, 45.09237394329007)",F18,190990000,Lagleygeolle
N778,1593856.8053576641,7764367.226385288,1.6549202422045066,45.07565099549004,"(1.6549202422045066, 45.07565099549004)",F18,190570000,Collonges-la-Rouge
N779,1593249.096380361,7763460.130158404,1.6474255724045308,45.06741106109,"(1.6474255724045308, 45.06741106109)",F18,190570000,Collonges-la-Rouge
N780,1594364.3864397057,7764926.734365666,1.6612261076044856,45.08075428819004,"(1.6612261076044856, 45.08075428819004)",F18,190570000,Collonges-la-Rouge
N781,1593477.67922307,7763241.132790275,1.6503705178045158,45.06548165808999,"(1.6503705178045158, 45.06548165808999)",F18,190570000,Collonges-la-Rouge
N782,1595223.1121977381,7766298.825317961,1.6718027408044485,45.09320719089008,"(1.6718027408044485, 45.09320719089008)",F18,190990000,Lagleygeolle
N783,1593575.185049946,7763163.835263433,1.6516230421045122,45.064803318790005,"(1.6516230421045122, 45.064803318790005)",F18,190570000,Collonges-la-Rouge
N784,1593114.3531041627,7762522.634039604,1.6459305336045316,45.058973678389975,"(1.6459305336045316, 45.058973678389975)",F18,190570000,Collonges-la-Rouge
