,Home_190030000,Home_190230000,Home_190310101,Home_190310102,Home_190310103,Home_190310104,Home_190310201,Home_190310202,Home_190310203,Home_190310301,Home_190310302,Home_190310303,Home_190310304,Home_190310401,Home_190310405,Home_190310602,Home_190310603,Home_190310701,Home_190310702,Home_190430000,Home_190570000,Home_190630000,Home_190680000,Home_190720000,Home_190930000,Home_190990000,Home_191050000,Home_191150000,Home_191230101,Home_191230102,Home_191230103,Home_191380000,Home_191500000,Home_191790000,Home_191840000,Home_192020000,Home_192170000,Home_192570000,Home_192730000,Home_192740000,Total,Work_190030000,Work_190230000,Work_190310101,Work_190310102,Work_190310103,Work_190310104,Work_190310201,Work_190310202,Work_190310203,Work_190310301,Work_190310302,Work_190310303,Work_190310304,Work_190310401,Work_190310405,Work_190310602,Work_190310603,Work_190310701,Work_190310702,Work_190430000,Work_190570000,Work_190630000,Work_190680000,Work_190720000,Work_190930000,Work_190990000,Work_191050000,Work_191150000,Work_191230101,Work_191230102,Work_191230103,Work_191380000,Work_191500000,Work_191790000,Work_191840000,Work_192020000,Work_192170000,Work_192570000,Work_192730000,Work_192740000
10,0.007199988163338503,0.0,0.0,0.0,0.0,0.02539998825420684,0.00359999992146164,0.007199999462185585,0.007199998774312931,0.007199987680663811,0.0,0.025599924275748948,0.0010235126065599866,0.0,0.008899520310096037,0.0,0.003599985296572551,0.007199998730906198,0.010999979869864767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026517020081738892,0.0,0.0035999990896506814,0.020105764049694205,0.0,0.0,0.0,0.007199984581116295,0.0,0.0,0.009940629859441864,0.015271350616296614,0.43631422034278405,0.0,5.530702414112141e-05,0.01549232584456267,0.012960255544806116,0.010999963886695847,0.01678736030257259,9.66899481282412e-10,0.005852036405828636,0.002637028503495499,0.040815761282018,6.22327090700761e-11,1.0212495230200247e-10,0.0127541770771992,0.0016909431268598866,0.018199997557993224,0.0,0.0,0.014567275990998354,0.03312463235240122,0.0,0.0,0.007028729356299476,0.0,0.007199999717708088,0.0017875026098780663,0.0,0.0,0.0,0.004970656925867594,0.00027122656458188597,0.0068244009458383005,0.010578689949042257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03782363469244735
11,0.005763373305165524,0.0,0.0,0.0,0.0,0.025399988244950496,0.003599999919964101,0.007199999327125867,0.007199998624707484,0.007199952426352126,0.0,0.019238813772428223,1.4758549508019167e-10,0.0,0.007200008962785983,0.0,0.0013603899221036552,0.00719999883126741,0.0006735235208183403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4881106510504766e-10,0.0,0.0035999988739273984,0.010702172665857244,0.0,0.0,0.0,0.0058274817981104395,0.0,0.0,0.007199967891349295,0.007200072850713074,0.4754957170089091,0.0,0.006674532734932251,0.013664777329788264,0.021266143229527384,0.009890181311207566,0.013087996371371714,0.0069544410802873866,5.196751323046038e-10,5.15858624466077e-10,0.03157828023813067,2.918709867052422e-10,0.0,0.012759633361101834,1.5408693749446919e-09,0.0084646048534324,0.0,0.0,0.032986865691279996,0.038123826068552,0.0,0.012493210640519947,0.0,0.0,0.007199999757247114,1.4264250431789645e-09,0.0,0.0,0.0,0.01711140331871156,0.0161477807816668,0.035817491225540635,0.01624362060386612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04846518258302312
12,5.922786369673468e-10,0.0,0.0,0.0,0.0,0.01455259145414683,0.003599999898761368,0.0014115406146129952,0.007199996143904741,1.0114064801425887e-09,0.0,0.010999998649455991,4.381053880556477e-11,0.0,0.007200000130383545,0.0,1.2545489219350583e-09,0.0011589474294180873,1.728194941842343e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.039794280889142e-10,0.0,0.006808271802037284,0.0018098022210452913,0.0,0.0,0.0,1.164664308734532e-09,0.0,0.0,2.2545984071430768e-09,0.007200004050961781,1.1781993744115447,0.0,0.02575636478215568,0.08290998062664763,0.05462389483664203,0.019524993019740124,0.09175564359439357,0.01792305325389367,0.012929963577358074,0.0021348772211416227,0.07736877289577342,0.010666530310483629,0.0030738246730573227,0.08814874180945301,0.01098552750559422,0.012050323749553102,0.026537746515861972,0.008225069611805535,0.0538174593316429,0.1010451469337155,0.0,0.011424193439441883,0.003605144098183292,0.0,0.02034425160058374,0.0016428808076185998,0.0,0.0,0.011771382649743142,0.08550117722125276,0.051085979129602166,0.07794230444267569,0.04546094789554852,0.0,0.0,0.0,0.008020899364386148,0.0,0.0,0.004385042580068958,0.09559609608531719
13,4.51110113437269e-10,0.0,0.0,0.0,0.0014201011298106852,0.008590640811557852,0.0035999998788132713,3.7052997879124415e-09,0.007199994419066845,8.777227651103919e-10,0.0029008756927443864,0.010999991449270979,3.5547836368572094e-11,0.0,0.007200000111153318,0.0,7.865912062789093e-10,8.929354878272843e-09,1.3363293954570135e-09,0.0,0.0,0.0,0.0,0.006870429359126447,0.0,0.0,0.0,0.0,5.1894188432454136e-11,0.0,0.007045224854254796,7.673848952745814e-10,0.0,0.0,0.0,8.074146494445292e-10,0.0,0.0,1.461364565332515e-09,0.007200002083905372,2.0999329341037543,0.0,0.047884231556208294,0.15956899872150093,0.05976021667810058,0.08304132721618794,0.11939329165326427,0.04986446430882299,0.041508837802311176,0.016243622714395233,0.1411144894512462,0.02689332523640831,0.0074984826131472586,0.13862531449785437,0.014818698547020578,0.04074550421679412,0.03317495925833769,0.026261993425804108,0.06953629080166142,0.19277696616827597,0.0018624386304577532,0.0042563173357157095,0.0208136481540114,0.0,0.0433789643184234,1.765914746389055e-10,0.0048088093753778805,0.0,0.02354919179224151,0.2288899711697834,0.06544759561771592,0.1030002437608882,0.06531304743476753,0.0,0.0005075605921333597,0.0,0.012048982928650422,0.0,0.0007465941107215471,0.019429512535444598,0.1741417623037708
14,2.6205496511304786e-10,0.0,0.0,0.0,0.007199984830038623,0.0036000069280393656,0.0035999996253461906,1.9358569400314076e-10,2.1050567587931296e-09,2.380249441480424e-10,0.0036000000390390206,2.9576836005574283e-09,1.8235013323582813e-11,0.0,0.0072000000650984,0.002165597738406646,2.2229595883050188e-10,4.986976993843627e-10,6.513938740224764e-10,0.0,0.0,0.0,0.0,0.0019323878027365808,0.0,0.0,0.0,0.0,0.0022708164109952198,0.0,0.0014327110172004367,4.5918506914622615e-10,0.0,0.0,0.0,3.452957643421025e-10,0.0,0.0,5.452965568981713e-10,0.007200001029782884,0.9426685151047635,1.1674405904039968e-10,0.004580131563938674,0.07734177750748526,0.039830011820614956,0.034642696296306064,0.023120703774293237,0.029610987011096143,0.022809024084186773,0.00919614339947773,0.08743750057777369,1.1048697864216181e-08,0.0069359143263847895,0.054865697739848646,0.02856735101409461,0.020032274280178834,0.018261733611089542,0.015757569189091332,0.052879331253645225,0.056159731010513504,0.012611968868391256,3.940894503858074e-09,0.013149072642001913,7.263532416747031e-10,0.013297810556634595,3.068011836324364e-09,1.0671173388710873e-09,7.701492553643304e-11,1.094923355662234e-08,0.07126692386117008,0.05580391322665163,0.031825772877306514,0.021723397011205216,0.0,8.238767609980424e-10,0.007085556989200135,0.0038425441430024383,0.0,0.013859087186347782,1.6965401980240736e-08,0.07597232651599783
15,2.1550007467968403e-10,0.0017216575557043325,0.0,0.0,0.0017232481025581023,0.0036000030393634297,0.003599999661798861,0.004719218647662268,8.766400953876478e-10,0.0066645540629027425,0.003599999935416276,1.1612243996053662e-09,1.3039308108272408e-11,0.0,0.007199999948035557,0.0072,1.697053446086352e-10,2.3553834727698583e-10,0.004560263575208487,0.0,0.0,0.0,0.0,4.973363781727059e-11,0.0,0.0,0.0,0.0,0.003600000019278869,0.0,0.0030011379124703663,0.008605711972266391,0.0,0.0,0.0,2.630575644143633e-10,0.0,0.0,0.0024695904717823005,0.004082973036221532,1.7351649114470111,7.282689192772605e-11,0.011175751261140869,0.143756106598339,0.09909837087601155,0.051596187904254506,0.0920101807920396,0.03486064577810532,0.03252917484675507,0.008099966799660492,0.1392113998200774,0.007839099632344075,1.2862628390288578e-08,0.12568486162037917,0.04160820857421284,0.053314022320198565,0.017671070452757037,0.015022806511925035,0.12174894006221693,0.12710712206000715,0.023877133555720385,0.0055136387583632615,0.029021600121153186,4.0409413528597775e-10,0.03856234750335397,0.005440232049597135,6.90261884888351e-10,0.0012463036105045673,3.956651794069418e-09,0.09759818405019463,0.03308729735903748,0.0437193648304858,0.04938633643832795,0.0,4.09644667992088e-10,0.005621665857978185,0.012371144540555556,0.0,0.004314135150227161,0.01514560425648298,0.18157762813338796
16,1.4827133827743393e-10,8.612544080879044e-11,0.0,0.0,5.076444789349233e-09,0.0024318811378169747,4.461746743193274e-10,0.007222688942479663,4.0846970165610657e-10,0.0036000002259596532,0.003599999717396912,7.033678171645767e-10,6.506874675506472e-12,0.0,0.009065851237280738,0.0072,1.0730427159145253e-10,0.002726634621886114,4.961145673328826e-10,0.0,0.0,0.0,0.0,0.009685943389377137,0.0,0.0,0.0,0.0,0.0036000000103503763,0.0,1.0175156270219527e-09,0.011000000187885385,0.0,0.0,0.0,1.681485154755222e-10,0.0,0.0,0.007199997273916237,1.73214087148178e-09,1.3359195279980838,2.8797256203626508e-11,0.008373863049399974,0.07949807820228279,0.05928288081731639,0.07579266669596554,0.07879338041501416,0.052707972639617476,0.016680702447891698,0.008742431433398373,0.06521831337865489,0.01299643714322351,0.0010906996075386692,0.09845205372235664,0.02634793334751626,0.03512702360235533,0.006478377506110714,0.02053450378995917,0.07511397282849008,0.09428752007186607,0.026443324244681887,0.008110296734374132,0.021884728737852178,1.987027669616955e-10,0.03297528078627898,0.003188585076319198,3.9806756655764573e-10,2.179999075183573e-10,0.006410842297567566,0.09719633861498134,0.023128239595695658,0.0406396833025098,0.054342755928660946,6.461983356107947e-10,1.6294170700382092e-10,7.851240940823277e-10,0.0014015620718473016,0.0,1.8121153409124427e-09,0.009275620439860133,0.1280704480776165
17,1.3769576532692497e-10,5.429125530663069e-11,0.0,0.0,3.97380895482955e-09,6.500866881059636e-10,3.173156388372824e-10,0.008419938405039639,4.174288221061813e-10,0.0036000002349766426,0.0035999996931667393,6.52719001473145e-10,1.2211282856164973e-10,0.0,3.0831429042733063e-09,0.0072,9.550711773740927e-11,0.0071999995109893345,4.873475130458618e-11,0.0,0.0,0.0,0.0,0.01629863278340127,2.6914887804017052e-11,0.0,0.0,0.0,0.0009036567763349726,0.0013799404477048455,9.861835705469287e-10,0.011208588257000279,0.0,0.0,0.0,1.041355284508893e-11,0.0,0.0,0.005515313138416382,2.536015756651295e-09,1.052289434346467,2.4737947987734448e-11,0.0007989250958807338,0.04484032567540318,0.041202868795768136,0.0338511879669963,0.06812863619274093,0.04036536749547948,0.008893643812020012,0.017527848629103317,0.027126277988246857,0.01613595504316985,0.008162123372047605,0.07346038588246138,0.03596353985666149,0.021106676132445802,0.015722494933660087,0.008244259700426436,0.08122173968162981,0.07679718702323697,0.024277556200352726,0.0009951039911874173,0.033022360601028894,6.049073706210995e-09,0.02865912165787299,5.96758206388084e-10,1.3974786026872056e-09,1.0193689901070535e-09,0.010614662377675181,0.08126009929984562,0.030716783068572985,0.010296115006041884,0.025678358361440917,6.885488043911171e-10,0.003825201035304366,9.389063156535958e-10,0.008654380729972558,0.0,1.3013175883409663e-09,0.004415816928474451,0.10499833743572673
18,0.003109403809366265,1.112263305484586e-11,0.0,0.0028348364448903896,2.0467856025590813e-09,0.008021907381150661,1.40640179041077e-10,0.0025315178977214172,3.734800838732864e-10,0.006929607804684847,0.007332226249528201,5.845849993666459e-10,7.110236452447628e-11,0.0017199430863713454,1.394622867794304e-09,0.002077840177634647,5.464674717727998e-11,0.005941593960694449,0.0,0.0,0.0,1.1159024723103901e-10,0.0,0.013711749670881316,2.292411321595582e-11,0.0,0.0,0.0,6.408147226073884e-12,0.0072,9.809194949666604e-10,0.017221874591407452,0.0,0.0,0.0,0.0026461973255555186,0.0,0.0,1.1501152124217734e-09,0.008300568841274435,1.1039027436396454,2.7908149572005646e-10,7.826593223337782e-09,0.045437440535302756,0.03559022221193476,0.025788714872595347,0.07162942673404765,0.026164036081337796,3.606345251762687e-08,0.01129727958701291,0.05632610610444866,0.01793845136452709,4.452970286683317e-06,0.12496352096216848,0.02996536306160722,0.032048902898977535,0.042092191053035855,0.007200013557295367,0.05494087921243087,0.10264865192785505,0.020340657074780163,1.2521071264767451e-09,0.029292491149292124,7.107791707260257e-09,0.021379454758329502,4.4035086707222197e-10,4.864871712445948e-09,8.387714353133698e-10,0.007552916515538273,0.08931389072048875,0.05075838646330398,0.01831485629277621,0.0075033585438846,4.6523633671809477e-10,0.007199994669021597,8.23830620116984e-10,0.007442574086124283,0.0,1.6013551656137341e-09,9.052744708868842e-09,0.07118916542495134
19,0.0036000013044499264,0.00253553501870602,0.0,0.0036000005571781945,0.0,0.011000001773832462,1.1106792932804633e-08,9.696010665191781e-11,0.0004219184938212572,0.0064119213161082204,0.01352777853883037,0.00011687860284612097,0.0008593562562768413,0.0035999993793434347,0.0,0.0,1.7599287315513649e-10,0.007192038193950508,0.0,0.0,0.0,0.006561570476497121,0.0,0.01671380264984199,3.821515863965755e-11,0.0,0.0,0.0,0.0035268931898513557,0.007200000064989701,0.0018836067199705672,0.009125172343608488,0.0,0.0,0.0,0.004694315532045354,0.0,0.0,0.004121378431323563,0.011000002780851175,3.3231373296987505,1.3409870582823513e-09,0.010201396572778455,0.22350152827799646,0.15886127999875202,0.14788554403119836,0.21509756674592587,0.08370431824048409,0.01201126609440504,0.042171316314428685,0.12611881246979223,0.046117569901138675,0.03336901786633736,0.2497377596689992,0.06888306459391699,0.12068127973093748,0.08551254913627461,0.01805757731721385,0.18764679389003242,0.23233715658610388,0.027636557649472104,9.760721696535926e-09,0.05640881394741003,0.004096735186695101,0.07802183201075666,7.883977751723275e-09,0.007255354294472717,1.0073891463804864e-08,0.03441883721750784,0.2582831815221896,0.13873782655961542,0.09302976526406254,0.06058415600592534,1.4379517520268462e-09,0.007200000600931122,9.472432853445774e-11,0.025701648030185223,0.0,3.685034633630396e-09,0.005930780837283581,0.3462438258159548
