,GeoPoint,Shape,x,y,node,xGPS,yGPS,Geo,Geo_Name,Annual_Load_MWh,Pmax_MW
BT749,"7767529.96745, 1597588.17006","[1597588.1700552125, 7767529.967449686]",1597588.1700600001,7767529.96745,N4106,1.7015104124649738,45.104626877893665,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT750,"7768169.34975, 1592020.11446","[1592020.1144587635, 7768169.349751755]",1592020.11446,7768169.34975,N3012,1.6307812062206648,45.109488463674545,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT751,"7770064.3323, 1594081.38968","[1594081.389680053, 7770064.33229748]",1594081.38968,7770064.3323,N3761,1.6564881058032632,45.12683110271282,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT752,"7767691.71427, 1592329.34126","[1592329.3412642234, 7767691.714274033]",1592329.3412600001,7767691.7142699985,N3768,1.6348103560519556,45.105250603453214,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT753,"7763491.33156, 1592581.48237","[1592581.4823722565, 7763491.331562737]",1592581.48237,7763491.331560003,N4028,1.638961369676593,45.06758402996507,191150000,Ligneyrac,124.00484999999999,0.025707403362877187
BT754,"7760741.44777, 1590032.2136","[1590032.2136000744, 7760741.447766643]",1590032.2136,7760741.447769999,N3109,1.6073073277029364,45.04248381392004,191150000,Ligneyrac,124.00484999999999,0.025707403362877187
BT755,"7759989.16246, 1590690.61628","[1590690.616279676, 7759989.1624599965]",1590690.61628,7759989.16246,N4231,1.6158175435087312,45.035838938389986,191150000,Ligneyrac,124.00484999999999,0.025707403362877187
BT756,"7761365.10305, 1589988.06196","[1589988.0619655107, 7761365.103052582]",1589988.06196,7761365.10305,N4089,1.6066033385354817,45.04807488596586,191150000,Ligneyrac,124.00484999999999,0.025707403362877187
BT757,"7775357.4891, 1587329.89399","[1587329.8939914773, 7775357.489096242]",1587329.89399,7775357.4891,N2661,1.5696043053851465,45.17324341192383,191230101,Centre,907.5469445421402,0.18604829417620133
BT758,"7775846.3283, 1588243.6267","[1588243.6267022141, 7775846.328295894]",1588243.6267,7775846.3283,N2785,1.5810858432756791,45.17778603862682,191230102,Nord,369.9580571428572,0.07931128137282856
BT759,"7773608.51787, 1587616.88674","[1587616.8867406214, 7773608.517871832]",1587616.88674,7773608.51787,N2718,1.573664072897333,45.157590277473716,191230103,Sud,510.0748857142857,0.11050399289154605
BT761,"7774092.13508, 1587527.41199","[1587527.4119885769, 7774092.135078259]",1587527.41199,7774092.13508,N2706,1.5724133412224284,45.1619168918062,191230103,Sud,510.0748857142857,0.11050399289154605
BT762,"7773503.71321, 1588121.15018","[1588121.15018044, 7773503.713208303]",1588121.1501799999,7773503.7132100025,N2756,1.5800874275987746,45.15673426110546,191230103,Sud,510.0748857142857,0.11050399289154605
BT763,"7773957.36627, 1588268.33348","[1588268.333481113, 7773957.366274588]",1588268.33348,7773957.36627,N3256,1.5818474300917205,45.16083167644891,191230103,Sud,510.0748857142857,0.11050399289154605
BT764,"7763575.35937, 1596269.82675","[1596269.8267523963, 7763575.359370472]",1596269.82675,7763575.35937,N4215,1.6856663380741443,45.06892183328541,191380000,Meyssac,260.17772222222226,0.056449035366194215
BT770,"7761548.42956, 1599257.95934","[1599257.9593377025, 7761548.42956443]",1599257.95934,7761548.429560001,N4349,1.7239524765343113,45.05118377615053,191840000,Saint-Bazile-de-Meyssac,72.919875,0.01948785539458602
BT771,"7761698.73728, 1598479.6132","[1598479.6131989395, 7761698.737279843]",1598479.6132,7761698.73728,N4335,1.7140631988176993,45.0524151697915,191840000,Saint-Bazile-de-Meyssac,72.919875,0.01948785539458602
BT772,"7761154.97592, 1599500.83379","[1599500.8337901016, 7761154.975916268]",1599500.83379,7761154.97592,N4352,1.7271118191021808,45.04768836842342,191840000,Saint-Bazile-de-Meyssac,72.919875,0.01948785539458602
BT799,"7766917.87152, 1601205.65063","[1601205.6506341137, 7766917.871519871]",1601205.6506299996,7766917.87152,N4311,1.7474963571520201,45.09967753379065,192570000,Sérilhac,50.12495238095238,0.012867192462094432
BT800,"7767339.38651, 1601129.29748","[1601129.2974782484, 7767339.386505821]",1601129.29748,7767339.3865100015,N4313,1.7464403025255286,45.10345034772787,192570000,Sérilhac,50.12495238095238,0.012867192462094432
BT801,"7767278.57173, 1599605.20004","[1599605.2000405465, 7767278.571729376]",1599605.20004,7767278.57173,N4237,1.7271331302972022,45.10267669249561,192570000,Sérilhac,50.12495238095238,0.012867192462094432
BT802,"7763174.66832, 1585371.15292","[1585371.1529225826, 7763174.668322923]",1585371.15292,7763174.668319997,N3895,1.5477017426728583,45.0635419338633,192730000,Turenne,97.96497619047621,0.02453301509994311
BT803,"7762845.7681, 1588002.00335","[1588002.00334887, 7762845.768098454]",1588002.00335,7762845.7681,N3936,1.5811035086186933,45.06103613860401,192730000,Turenne,97.96497619047621,0.02453301509994311
BT804,"7765439.48681, 1588551.72341","[1588551.723414863, 7765439.486808096]",1588551.72341,7765439.4868100025,N3767,1.5874549278426604,45.084411621006346,192730000,Turenne,97.96497619047621,0.02453301509994311
BT805,"7761284.08141, 1587808.82438","[1587808.824377681, 7761284.08140903]",1587808.82438,7761284.081410001,N4076,1.5790269937338874,45.04698493079905,192730000,Turenne,97.96497619047621,0.02453301509994311
BT806,"7760299.85761, 1589355.68789","[1589355.6878896, 7760299.857614415]",1589355.68789,7760299.85761,N4176,1.5988445816107837,45.03840806825034,192730000,Turenne,97.96497619047621,0.02453301509994311
BT807,"7765951.69857, 1588194.69125","[1588194.6912529592, 7765951.698574842]",1588194.69125,7765951.69857,N3720,1.5828096141683885,45.088949995646104,192730000,Turenne,97.96497619047621,0.02453301509994311
BT812,"7777974.12979, 1583365.5508","[1583365.550801095, 7777974.129786373]",1583365.5508,7777974.12979,N3355,1.5186396701901683,45.19605228182278,192740000,Ussac,367.3753835616439,0.07894207065344112
BT814,"7776313.73175, 1586470.70237","[1586470.7023682704, 7776313.731754155]",1586470.70237,7776313.73175,N3238,1.5584686151277929,45.181682365053355,192740000,Ussac,367.3753835616439,0.07894207065344112
BT821,"7774044.65802, 1584796.42215","[1584796.4221449613, 7774044.658017985]",1584796.42215,7774044.65802,N2633,1.5377696416683484,45.16102396020925,190310102,Guierle,930.285230094106,0.1949644197370618
BT822,"7773092.61443, 1584173.49772","[1584173.4977189351, 7773092.614431155]",1584173.49772,7773092.61443,N2738,1.530099039018722,45.15236900548009,190310401,Zola,1419.403314347663,0.3194956491723709
BT823,"7773146.13844, 1583741.03642","[1583741.036420477, 7773146.138442631]",1583741.03642,7773146.138439999,N2758,1.5245990510995433,45.152774190866545,190310303,Tilleul,348.1073333333334,0.08842065544851063
BT824,"7775257.19324, 1585111.39994","[1585111.3999346984, 7775257.193242757]",1585111.39994,7775257.193239999,N2624,1.5414708883728525,45.171963981066476,190310702,Migoule,840.6918400000001,0.16922845293241287
BT825,"7774842.1119, 1583141.57302","[1583141.5730270431, 7774842.111904544]",1583141.57302,7774842.1119,N2773,1.516572889416716,45.167894855448274,190310603,Vialmur,499.6097272727273,0.1282118794387478
BT826,"7774041.08162, 1583388.43878","[1583388.4387829877, 7774041.08161843]",1583388.43878,7774041.0816199975,N2761,1.519904089366663,45.16074686910385,190310405,Danton,875.1081791995548,0.1840868348695583
BT832,"7773332.70233, 1583526.39527","[1583526.395277317, 7773332.702330701]",1583526.39527,7773332.702330003,N2764,1.5218297101122926,45.154411564082714,190310401,Zola,1419.403314347663,0.3194956491723709
BT833,"7772852.74182, 1586394.63508","[1586394.6350849383, 7772852.741818703]",1586394.63508,7772852.74182,N2666,1.5583374324418664,45.15059798730108,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT834,"7773579.69994, 1585109.64889","[1585109.6488842042, 7773579.699944931]",1585109.64889,7773579.69994,N2632,1.5418576563796305,45.156903890747024,190310203,Caserne,847.3268946992425,0.20542706618829457
BT835,"7774843.2525, 1585067.60704","[1585067.6070403887, 7774843.252497415]",1585067.60704,7774843.2525,N2615,1.5410160491993254,45.16824023011343,190310702,Migoule,840.6918400000001,0.16922845293241287
BT839,"7772038.62715, 1583642.54584","[1583642.545837222, 7772038.627150079]",1583642.54584,7772038.62715,N2777,1.5236227602402097,45.142814457390024,190310303,Tilleul,348.1073333333334,0.08842065544851063
BT840,"7772695.16437, 1584687.23043","[1584687.2304243715, 7772695.16437288]",1584687.23043,7772695.1643699985,N3232,1.5367141758770164,45.148890039165366,190310302,Breuil,301.86220833333334,0.07484823222711207
BT841,"7772439.97438, 1585259.40895","[1585259.4089470915, 7772439.974382238]",1585259.40895,7772439.9743800005,N2731,1.544035270342324,45.14669786907067,190310302,Breuil,301.86220833333334,0.07484823222711207
BT842,"7772510.09931, 1586470.43637","[1586470.4363666761, 7772510.09931244]",1586470.43637,7772510.09931,N3215,1.5593816303475834,45.14753484686892,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT844,"7769450.89025, 1585680.7529","[1585680.752904171, 7769450.890248414]",1585680.7529,7769450.89025,N3406,1.5501047907515864,45.11993636360368,190310302,Breuil,301.86220833333334,0.07484823222711207
BT846,"7773651.57906, 1583565.09061","[1583565.090610276, 7773651.579056899]",1583565.09061,7773651.57906,N2747,1.5222419040006878,45.15728102371809,190310405,Danton,875.1081791995548,0.1840868348695583
BT848,"7772041.93927, 1584859.77061","[1584859.7706118864, 7772041.9392673485]",1584859.77061,7772041.93927,N3255,1.5390626206803195,45.14305561981371,190310302,Breuil,301.86220833333334,0.07484823222711207
BT849,"7772872.14966, 1583228.94065","[1583228.94065416, 7772872.149661183]",1583228.94065,7772872.1496600015,N3285,1.5181697362524835,45.15022493117893,190310303,Tilleul,348.1073333333334,0.08842065544851063
BT852,"7773702.15007, 1584470.27299","[1584470.272992047, 7773702.15007449]",1584470.27299,7773702.150069999,N2676,1.533714952780042,45.15789261304962,190310101,Centre,1154.06,0.25936133075057716
BT853,"7774361.34615, 1585948.84876","[1585948.8487667341, 7774361.346151568]",1585948.84876,7774361.34615,N2588,1.5523166993197768,45.164065352375076,190310201,Sports,889.0213250394659,0.19306024264787772
BT854,"7774519.15098, 1584114.5205","[1584114.5204988935, 7774519.15098162]",1584114.5205,7774519.15098,N3213,1.5290000287193752,45.165165450575984,190310701,Hopital,1076.7573698771766,0.22398659196041895
BT877,"7764242.89382, 1590871.53274","[1590871.5327460358, 7764242.893823511]",1590871.53274,7764242.89382,N3906,1.6171268853289698,45.074053317057505,191500000,Noailhac,82.57615789473684,0.021168730461267243
BT878,"7763332.74911, 1589931.8424","[1589931.842394387, 7763332.749113509]",1589931.8424,7763332.74911,N3051,1.6054336646765854,45.06572871825939,191500000,Noailhac,82.57615789473684,0.021168730461267243
BT881,"7764647.42952, 1597022.51293","[1597022.5129286102, 7764647.429521577]",1597022.51293,7764647.42952,N3132,1.6949680198223218,45.07866248767605,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT882,"7773901.90507, 1584937.06555","[1584937.0655462043, 7773901.9050730765]",1584937.06555,7773901.9050699975,N2622,1.5395891801538095,45.159766701363324,190310102,Guierle,930.285230094106,0.1949644197370618
BT884,"7761662.59966, 1595090.29333","[1595090.293335625, 7761662.599655665]",1595090.29333,7761662.599660003,N4267,1.6711480557322516,45.05156673282797,191380000,Meyssac,260.17772222222226,0.056449035366194215
BT885,"7769642.13204, 1592772.03363","[1592772.0336379113, 7769642.132035132]",1592772.03363,7769642.13204,N3676,1.6399791986031305,45.12283149313261,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT893,"7778871.72503, 1585868.21724","[1585868.2172409177, 7778871.725028723]",1585868.21724,7778871.72503,N2863,1.5502002382928977,45.20454456930173,192740000,Ussac,367.3753835616439,0.07894207065344112
BT894,"7779662.11788, 1585322.2552","[1585322.2551996012, 7779662.117883458]",1585322.2552,7779662.117880003,N3437,1.5430739958107975,45.21154681495947,190720000,Donzenac,332.9254615384616,0.07031433803436393
BT895,"7774197.18377, 1584650.30349","[1584650.3034852992, 7774197.183774205]",1584650.3034899996,7774197.18377,N3197,1.5358781463655868,45.162367977153366,190310102,Guierle,930.285230094106,0.1949644197370618
BT897,"7771422.13113, 1588108.68944","[1588108.6894385682, 7771422.131133586]",1588108.6894399999,7771422.1311300015,N2825,1.5804232712237662,45.13804477425827,190630000,Cosnac,244.09871428571432,0.06076796331385337
