,x,y,Shape,xyGPS,xGPS,yGPS
N2821,1600490.8589400542,7763681.696465748,"(1600490.8589400542, 7763681.6964657484)","(1.739117340545189, 45.070519193962703)",1.739117340545189,45.0705191939627
N2822,1594636.6956732743,7784230.109628905,"(1594636.6956732743, 7784230.1096289046)","(1.6603598931025028, 45.254099974377112)",1.6603598931025028,45.25409997437711
N2823,1594408.3326452312,7783660.062745627,"(1594408.3326452312, 7783660.062745627)","(1.6575851301239568, 45.24894556079758)",1.6575851301239568,45.24894556079758
N2824,1595236.0294911815,7783283.341299792,"(1595236.0294911815, 7783283.3412997918)","(1.6681897047764858, 45.245694066770689)",1.6681897047764858,45.24569406677069
N2825,1583751.1058606708,7773648.870587692,"(1583751.1058606708, 7773648.8705876917)","(1.524602828685591, 45.157289193508824)",1.524602828685591,45.157289193508824
N2826,1579857.1154754625,7773776.609744613,"(1579857.1154754625, 7773776.6097446131)","(1.47516195103365, 45.15774508785502)",1.47516195103365,45.15774508785502
N2827,1594384.586515218,7762057.789717569,"(1594384.586515218, 7762057.789717569)","(1.6621227683429491, 45.055003021459562)",1.6621227683429491,45.05500302145956
N2828,1590433.951815085,7774644.51083822,"(1590433.951815085, 7774644.5108382199)","(1.609168531044654, 45.167360371531387)",1.609168531044654,45.16736037153139
N2829,1593982.0711595812,7774634.691299977,"(1593982.0711595812, 7774634.6912999768)","(1.6542009755869322, 45.167846423121574)",1.6542009755869322,45.167846423121574
N2830,1584868.0135549798,7782755.955426834,"(1584868.0135549798, 7782755.9554268336)","(1.5365468799185305, 45.239245039158128)",1.5365468799185305,45.23924503915813
N2831,1584584.4157289916,7779395.303843747,"(1584584.4157289916, 7779395.3038437469)","(1.5337678826403289, 45.209023824637747)",1.533767882640329,45.20902382463775
N2832,1583184.8641609598,7781878.921381606,"(1583184.8641609598, 7781878.9213816058)","(1.5153756181729059, 45.231077471482443)",1.515375618172906,45.23107747148244
N2833,1585159.6746063177,7784038.603077603,"(1585159.6746063177, 7784038.6030776026)","(1.5399397662465826, 45.250811366719013)",1.5399397662465826,45.25081136671901
N2834,1585870.4864272098,7765114.630895235,"(1585870.4864272098, 7765114.6308952346)","(1.553558304610275, 45.081042137942511)",1.553558304610275,45.08104213794251
N2835,1596475.2022139698,7765312.251182668,"(1596475.2022139698, 7765312.2511826679)","(1.6878877309202458, 45.084546000273811)",1.6878877309202458,45.08454600027381
N2836,1596495.2004354806,7766531.906133683,"(1596495.2004354806, 7766531.9061336834)","(1.6878739889829839, 45.095498225873435)",1.687873988982984,45.095498225873435
N2837,1591040.9779727361,7762620.984733739,"(1591040.9779727361, 7762620.9847337389)","(1.6196472825025963, 45.059521318824913)",1.6196472825025963,45.05952131882491
N2838,1586796.1032374597,7775092.631378522,"(1586796.1032374597, 7775092.6313785221)","(1.5628928616202877, 45.170775088408789)",1.5628928616202877,45.17077508840879
N2839,1590392.8589853754,7775900.393135585,"(1590392.8589853754, 7775900.3931355849)","(1.6083548040785325, 45.178628640753026)",1.6083548040785325,45.178628640753026
N2840,1587587.0780816767,7773878.967111635,"(1587587.0780816767, 7773878.967111635)","(1.5732213352975977, 45.160013227386372)",1.5732213352975977,45.16001322738637
N2841,1587507.9154695983,7773678.68845434,"(1587507.9154695983, 7773678.6884543402)","(1.5722646178890509, 45.158201846878612)",1.572264617889051,45.15820184687861
N2842,1586439.5555729289,7775304.493592545,"(1586439.5555729289, 7775304.4935925454)","(1.5583165565517569, 45.172616416085177)",1.558316556551757,45.17261641608518
N2843,1587167.7655645728,7774888.8213160485,"(1587167.7655645728, 7774888.8213160485)","(1.5676587507513606, 45.169008418930254)",1.5676587507513606,45.169008418930254
N2844,1586608.8947080898,7775152.802763581,"(1586608.8947080898, 7775152.8027635813)","(1.5605023629030803, 45.171283440009461)",1.5605023629030803,45.17128344000946
N2845,1589486.8737109052,7776041.302972931,"(1589486.8737109052, 7776041.3029729314)","(1.5968213564337268, 45.17974396427649)",1.5968213564337268,45.17974396427649
N2846,1587808.184532973,7777647.122896427,"(1587808.184532973, 7777647.1228964273)","(1.5751294658160233, 45.193880015719081)",1.5751294658160233,45.19388001571908
N2847,1586464.6755040912,7774322.119136755,"(1586464.6755040912, 7774322.1191367554)","(1.5588721076383356, 45.163801308660318)",1.5588721076383356,45.16380130866032
N2848,1589136.3045506293,7775736.189830282,"(1589136.3045506293, 7775736.1898302818)","(1.5924430390849491, 45.176946451098217)",1.592443039084949,45.17694645109822
N2849,1587045.9656042794,7775042.6333573805,"(1587045.9656042794, 7775042.6333573805)","(1.566076060482537, 45.17036864545932)",1.566076060482537,45.17036864545932
N2850,1597054.8764297091,7761195.139722189,"(1597054.8764297091, 7761195.1397221889)","(1.6961294404525933, 45.047676239637866)",1.6961294404525933,45.047676239637866
N2851,1595302.7074394862,7761886.035277929,"(1595302.7074394862, 7761886.0352779292)","(1.6737886407964333, 45.053605833109586)",1.6737886407964333,45.053605833109586
N2852,1592187.5414826577,7765423.922594693,"(1592187.5414826577, 7765423.9225946926)","(1.6335303343798673, 45.08486936711757)",1.6335303343798673,45.08486936711757
N2853,1583062.7376469763,7765978.592537789,"(1583062.7376469763, 7765978.5925377887)","(1.517768948674469, 45.088311559627208)",1.517768948674469,45.08831155962721
N2854,1597665.4594545998,7774028.819607548,"(1597665.4594545998, 7774028.8196075484)","(1.7010804551721015, 45.162983073746943)",1.7010804551721015,45.16298307374694
N2855,1594231.6479234416,7786894.710799633,"(1594231.6479234416, 7786894.7107996326)","(1.6546106471429674, 45.277960202028638)",1.6546106471429674,45.27796020202864
N2856,1597595.2640885594,7773798.628718231,"(1597595.2640885594, 7773798.6287182309)","(1.7002396676429765, 45.160905661239489)",1.7002396676429765,45.16090566123949
N2857,1597080.250609621,7759475.292835899,"(1597080.2506096209, 7759475.2928358987)","(1.6968246526351511, 45.032241416353976)",1.6968246526351511,45.032241416353976
N2858,1599136.590967001,7771284.908229429,"(1599136.5909670009, 7771284.9082294293)","(1.7203368014334259, 45.138573113898588)",1.720336801433426,45.13857311389859
N2859,1595144.857643702,7775333.275170958,"(1595144.8576437021, 7775333.2751709577)","(1.6688029422977271, 45.174302299857658)",1.668802942297727,45.17430229985766
N2860,1590703.7336848811,7769179.196514351,"(1590703.7336848811, 7769179.1965143513)","(1.6138589883972259, 45.118339677456305)",1.6138589883972259,45.118339677456305
N2861,1591901.054974684,7759937.599658221,"(1591901.054974684, 7759937.599658221)","(1.6311537348685274, 45.035573118488365)",1.6311537348685274,45.035573118488365
N2862,1587483.5775037943,7761886.457070794,"(1587483.5775037943, 7761886.457070794)","(1.5747652817064255, 45.052337502489934)",1.5747652817064255,45.052337502489934
N2863,1584793.7525047397,7773234.937953774,"(1584793.7525047397, 7773234.9379537739)","(1.5379336754322255, 45.153754247814447)",1.5379336754322255,45.15375424781445
N2864,1588183.5818670508,7779374.305547317,"(1588183.5818670508, 7779374.3055473166)","(1.5794856036383029, 45.209449744370879)",1.579485603638303,45.20944974437088
N2865,1579516.034353841,7769376.49750707,"(1579516.0343538411, 7769376.4975070702)","(1.4719580825837493, 45.118182956962094)",1.4719580825837493,45.118182956962094
N2866,1579912.2886646376,7768568.630198656,"(1579912.2886646376, 7768568.6301986557)","(1.477187736983717, 45.111002241801202)",1.477187736983717,45.1110022418012
N2867,1580792.6413332154,7763326.670467496,"(1580792.6413332154, 7763326.6704674959)","(1.4896706700400753, 45.064104335999517)",1.4896706700400753,45.06410433599952
N2868,1582088.371789163,7780793.408396453,"(1582088.371789163, 7780793.4083964527)","(1.501715948574071, 45.221138307713204)",1.501715948574071,45.221138307713204
N2869,1583054.604364811,7788195.342031075,"(1583054.604364811, 7788195.3420310747)","(1.51214742354732, 45.287765219538954)",1.51214742354732,45.287765219538954
N2870,1591012.4135863138,7761624.051897676,"(1591012.4135863138, 7761624.0518976757)","(1.6195151323036063, 45.050567408988854)",1.6195151323036063,45.050567408988854
N2871,1592580.549484886,7784480.187984452,"(1592580.549484886, 7784480.1879844517)","(1.6341654411040185, 45.25601631990569)",1.6341654411040185,45.25601631990569
N2872,1579214.1633463956,7774594.10025237,"(1579214.1633463956, 7774594.1002523704)","(1.4667943807171966, 45.164967727391264)",1.4667943807171966,45.164967727391264
N2873,1585029.3949360019,7777022.238535577,"(1585029.3949360019, 7777022.2385355774)","(1.5399991913050775, 45.187795846806885)",1.5399991913050775,45.187795846806885
N2874,1583827.2599241994,7780832.666330294,"(1583827.2599241994, 7780832.6663302938)","(1.5237964096592427, 45.221796648695559)",1.5237964096592427,45.22179664869556
N2875,1597170.45059,7781533.99282,"(1597170.45059, 7781533.9928200003)","(1.6931588832688695, 45.230289453271318)",1.6931588832688695,45.23028945327132
