,x,y,Shape,xyGPS,xGPS,yGPS
N2741,1583187.7397647996,7762430.292569524,"(1583187.7397647996, 7762430.2925695237)","(1.5202295852239738, 45.056481400328991)",1.5202295852239738,45.05648140032899
N2742,1582610.3559225693,7766142.658671641,"(1582610.3559225693, 7766142.6586716408)","(1.5119955209157223, 45.089704901843575)",1.5119955209157223,45.089704901843575
N2743,1585396.5669631306,7784987.715852636,"(1585396.5669631306, 7784987.7158526359)","(1.5427192264774516, 45.259373673421024)",1.5427192264774516,45.259373673421024
N2744,1585036.7424847784,7785791.703075864,"(1585036.7424847784, 7785791.7030758644)","(1.5379480122012352, 45.266530050604231)",1.5379480122012352,45.26653005060423
N2745,1587150.846617345,7787251.294415545,"(1587150.846617345, 7787251.2944155447)","(1.5644768241701363, 45.279997265798244)",1.5644768241701363,45.279997265798244
N2746,1584780.1190583287,7787431.903786957,"(1584780.1190583287, 7787431.9037869573)","(1.5342825122573829, 45.281212091075403)",1.5342825122573829,45.2812120910754
N2747,1593164.563401586,7760919.541534453,"(1593164.5634015859, 7760919.5415344527)","(1.6469284127442689, 45.044591061373666)",1.646928412744269,45.044591061373666
N2748,1598608.7889088176,7762182.210159557,"(1598608.7889088176, 7762182.2101595569)","(1.715595525085974, 45.056774925997317)",1.715595525085974,45.05677492599732
N2749,1587155.0810787007,7777795.221400823,"(1587155.0810787007, 7777795.2214008234)","(1.5668013112205332, 45.195099238331451)",1.5668013112205332,45.19509923833145
N2750,1589718.8607938583,7783792.9170714915,"(1589718.8607938583, 7783792.9170714915)","(1.597948708171687, 45.249377237093654)",1.597948708171687,45.249377237093654
N2751,1587086.1059502568,7783263.330066101,"(1587086.1059502568, 7783263.3300661007)","(1.5646125422147708, 45.244180629070051)",1.5646125422147708,45.24418062907005
N2752,1588195.2005277257,7781524.370988857,"(1588195.2005277257, 7781524.370988857)","(1.5791219998449517, 45.228755202257197)",1.5791219998449517,45.2287552022572
N2753,1587697.5773066191,7781422.882794887,"(1587697.5773066191, 7781422.8827948868)","(1.5728236561757292, 45.22776020782144)",1.5728236561757292,45.22776020782144
N2754,1588374.3331228974,7784498.183766023,"(1588374.3331228974, 7784498.1837660233)","(1.5806914966416417, 45.25548505933385)",1.5806914966416417,45.25548505933385
N2755,1588790.7494500836,7781593.203277021,"(1588790.7494500836, 7781593.2032770207)","(1.5866725320565265, 45.229473014223302)",1.5866725320565265,45.2294730142233
N2756,1589180.9779027035,7780141.9233957995,"(1589180.9779027035, 7780141.9233957995)","(1.5919727431640955, 45.216508307810642)",1.5919727431640955,45.21650830781064
N2757,1590881.673840912,7786388.425683791,"(1590881.6738409121, 7786388.4256837908)","(1.6121255443212976, 45.272872896337752)",1.6121255443212976,45.27287289633775
N2758,1589962.8423886802,7784672.457127502,"(1589962.8423886802, 7784672.4571275022)","(1.6008437820783112, 45.257314546485759)",1.6008437820783112,45.25731454648576
N2759,1592666.2009615158,7784868.820793582,"(1592666.2009615158, 7784868.8207935821)","(1.6351654323167375, 45.259519508959016)",1.6351654323167375,45.259519508959016
N2760,1592379.922505367,7786341.74663293,"(1592379.9225053671, 7786341.7466329299)","(1.6311882931729078, 45.272698051468872)",1.6311882931729078,45.27269805146887
N2761,1594212.0238514284,7776205.617991045,"(1594212.0238514284, 7776205.6179910451)","(1.6567665980778294, 45.181986601728227)",1.6567665980778294,45.18198660172823
N2762,1592980.3455639044,7776151.085359285,"(1592980.3455639044, 7776151.0853592847)","(1.6411431866141752, 45.181300195754964)",1.6411431866141752,45.181300195754964
N2763,1591901.8097677515,7779447.301785057,"(1591901.8097677515, 7779447.3017850574)","(1.6266946696608431, 45.210719447182839)",1.626694669660843,45.21071944718284
N2764,1579018.6320229939,7773339.091623212,"(1579018.6320229939, 7773339.0916232122)","(1.4646352094205006, 45.153665614156644)",1.4646352094205006,45.153665614156644
N2765,1578899.1360567445,7772689.335695473,"(1578899.1360567445, 7772689.3356954725)","(1.4632860061660971, 45.147810879909294)",1.463286006166097,45.147810879909294
N2766,1589197.7189864144,7787239.04966766,"(1589197.7189864144, 7787239.0496676601)","(1.5905113800590047, 45.28023173388371)",1.5905113800590047,45.28023173388371
N2767,1588759.4768446428,7789803.401569383,"(1588759.4768446428, 7789803.4015693832)","(1.5843296626119576, 45.303183109218942)",1.5843296626119576,45.30318310921894
N2768,1580116.1334106182,7780153.20443163,"(1580116.1334106182, 7780153.2044316297)","(1.4768249030201179, 45.215038219244477)",1.476824903020118,45.21503821924448
N2769,1580377.5135800303,7777686.785481465,"(1580377.5135800303, 7777686.785481465)","(1.4807719938088602, 45.192942368892716)",1.4807719938088602,45.192942368892716
N2770,1578888.6084323714,7777150.279138753,"(1578888.6084323714, 7777150.2791387532)","(1.4620057841710254, 45.187856636607208)",1.4620057841710254,45.18785663660721
N2771,1601351.537544165,7767851.665596413,"(1601351.537544165, 7767851.6655964134)","(1.7491505156780596, 45.108082238573374)",1.7491505156780596,45.108082238573374
N2772,1585557.7833004121,7760775.241459457,"(1585557.7833004121, 7760775.2414594572)","(1.5506460052972464, 45.04203524790757)",1.5506460052972464,45.04203524790757
N2773,1589200.250313201,7761598.28110123,"(1589200.250313201, 7761598.2811012296)","(1.5965726930266524, 45.050037768212007)",1.5965726930266524,45.05003776821201
N2774,1583007.6513039812,7777725.671161332,"(1583007.6513039812, 7777725.6711613322)","(1.5141569455739823, 45.193758879312085)",1.5141569455739823,45.193758879312085
N2775,1580727.684607751,7776886.840343976,"(1580727.684607751, 7776886.8403439764)","(1.485420712623891, 45.185823580881937)",1.485420712623891,45.18582358088194
N2776,1581821.5925861085,7779656.521058567,"(1581821.5925861085, 7779656.5210585669)","(1.4986125788118489, 45.210884126426919)",1.498612578811849,45.21088412642692
N2777,1580441.2028063864,7774545.576003441,"(1580441.2028063864, 7774545.5760034407)","(1.4823780548214236, 45.164753478913148)",1.4823780548214236,45.16475347891315
N2778,1579854.7022866458,7774788.71555494,"(1579854.7022866458, 7774788.7155549396)","(1.4748733021834937, 45.166830712895916)",1.4748733021834937,45.166830712895916
N2779,1581175.753316853,7776050.459679539,"(1581175.753316853, 7776050.4596795393)","(1.4913200519519605, 45.178395013093251)",1.4913200519519605,45.17839501309325
N2780,1578387.6045052684,7786659.0870843455,"(1578387.6045052684, 7786659.0870843455)","(1.4531852373297056, 45.273134506982615)",1.4531852373297056,45.273134506982615
N2781,1586019.179316572,7763184.453539718,"(1586019.1793165719, 7763184.4535397179)","(1.5559076147095208, 45.06374075663549)",1.5559076147095208,45.06374075663549
N2782,1582138.75313061,7782784.656645753,"(1582138.7531306101, 7782784.6566457534)","(1.5018567066137183, 45.239024696253558)",1.5018567066137183,45.23902469625356
N2783,1597194.604790283,7771791.099295904,"(1597194.6047902829, 7771791.0992959039)","(1.6955931140732581, 45.142820794976686)",1.695593114073258,45.142820794976686
N2784,1580707.8717695873,7766490.899642106,"(1580707.8717695873, 7766490.8996421061)","(1.4877984734215532, 45.092493487228538)",1.4877984734215532,45.09249348722854
N2785,1599547.620249602,7769821.543769825,"(1599547.620249602, 7769821.5437698252)","(1.7258621587438847, 45.125497592418455)",1.7258621587438847,45.125497592418455
N2786,1588182.8990315278,7769303.833773352,"(1588182.8990315278, 7769303.8337733522)","(1.5818665361568589, 45.119040559958165)",1.581866536156859,45.119040559958165
N2787,1594679.1960457636,7757358.056811423,"(1594679.1960457636, 7757358.056811423)","(1.6668992712249446, 45.012861511259729)",1.6668992712249446,45.01286151125973
N2788,1597580.351505435,7765517.725980485,"(1597580.3515054351, 7765517.7259804849)","(1.7018475356505889, 45.086561170043502)",1.7018475356505889,45.0865611700435
N2789,1581745.0059818632,7774000.071246267,"(1581745.0059818632, 7774000.0712462673)","(1.4990604547280442, 45.160088987953749)",1.4990604547280442,45.16008898795375
N2790,1584432.1588460272,7764160.984630186,"(1584432.1588460272, 7764160.9846301861)","(1.5355670038765263, 45.072233873693378)",1.5355670038765263,45.07223387369338
N2791,1598656.6757,7779420.74559,"(1598656.6757, 7779420.7455900004)","(1.7124988247608663, 45.211543950327247)",1.7124988247608663,45.21154395032725
N2792,1597112.938115513,7780417.623764705,"(1597112.938115513, 7780417.6237647049)","(1.6926724129411406, 45.220257359928802)",1.6926724129411406,45.2202573599288
N2793,1595355.5563475925,7779148.536761485,"(1595355.5563475925, 7779148.536761485)","(1.6706292352145162, 45.208589107459275)",1.6706292352145162,45.208589107459275
N2794,1583708.5518561557,7780552.761005078,"(1583708.5518561557, 7780552.7610050784)","(1.5223575914468583, 45.219262925680532)",1.5223575914468583,45.21926292568053
N2795,1584519.2844176597,7774181.606003743,"(1584519.2844176597, 7774181.6060037427)","(1.5342193650359255, 45.162205426793626)",1.5342193650359255,45.162205426793626
N2796,1587300.3838342607,7775898.9482281525,"(1587300.3838342607, 7775898.9482281525)","(1.5691001989173317, 45.178099483175565)",1.5691001989173317,45.178099483175565
N2797,1586994.376013398,7774321.24839468,"(1586994.3760133979, 7774321.2483946802)","(1.5655943131634, 45.16388356573249)",1.5655943131634,45.16388356573249
N2798,1587558.4712603267,7775769.228657474,"(1587558.4712603267, 7775769.2286574738)","(1.5724072215944878, 45.176978523284419)",1.5724072215944878,45.17697852328442
N2799,1588129.8431269147,7776028.583275114,"(1588129.8431269147, 7776028.5832751142)","(1.5795982371504151, 45.179403175226469)",1.5795982371504151,45.17940317522647
N2800,1588491.437742308,7775831.885032053,"(1588491.437742308, 7775831.8850320531)","(1.5842348639631285, 45.177697911995807)",1.5842348639631285,45.17769791199581
N2801,1587366.5766011688,7774783.855105127,"(1587366.5766011688, 7774783.8551051272)","(1.5702070399347154, 45.168099718827193)",1.5702070399347154,45.16809971882719
N2802,1587516.7320471287,7774282.046704131,"(1587516.7320471287, 7774282.0467041312)","(1.5722324855591294, 45.163620040895474)",1.5722324855591294,45.16362004089547
N2803,1586791.941166236,7774817.1259293435,"(1586791.9411662361, 7774817.1259293435)","(1.5629062378024341, 45.168300990496235)",1.562906237802434,45.168300990496235
N2804,1586034.679385817,7774774.756746155,"(1586034.6793858169, 7774774.7567461552)","(1.5533059193850147, 45.167791475371693)",1.5533059193850147,45.16779147537169
N2805,1588691.7644747572,7776237.130375393,"(1588691.7644747572, 7776237.1303753927)","(1.5866819413595532, 45.181369631432887)",1.5866819413595532,45.18136963143289
N2806,1595458.3939652084,7762107.791690762,"(1595458.3939652084, 7762107.7916907622)","(1.6757113415355585, 45.055620916524823)",1.6757113415355585,45.05562091652482
N2807,1595363.966617862,7762624.401918157,"(1595363.966617862, 7762624.401918157)","(1.674401159000819, 45.060243690660542)",1.674401159000819,45.06024369066054
N2808,1596602.5552905765,7760891.539972398,"(1596602.5552905765, 7760891.5399723984)","(1.6904679414676724, 45.044880970807682)",1.6904679414676724,45.04488097080768
N2809,1595297.8509339932,7761664.152505021,"(1595297.8509339932, 7761664.1525050206)","(1.6737762311383368, 45.051613257981877)",1.6737762311383368,45.05161325798188
N2810,1597462.9922341253,7762440.605861665,"(1597462.9922341253, 7762440.6058616647)","(1.7010276054971532, 45.058919513388773)",1.7010276054971532,45.05891951338877
N2811,1590229.156642044,7764581.981729753,"(1590229.156642044, 7764581.9817297533)","(1.6089097999667179, 45.076991923222849)",1.608909799966718,45.07699192322285
N2812,1592802.179256831,7766271.013379458,"(1592802.1792568311, 7766271.0133794583)","(1.6411267360114141, 45.092572848701131)",1.6411267360114141,45.09257284870113
N2813,1591981.436848464,7764541.429922169,"(1591981.436848464, 7764541.4299221691)","(1.6311202904937789, 45.076913864010479)",1.631120290493779,45.07691386401048
N2814,1583046.4342213196,7766604.2879858045,"(1583046.4342213196, 7766604.2879858045)","(1.5174074799039967, 45.093925487035932)",1.5174074799039967,45.09392548703593
N2815,1598133.7600757196,7773859.001559808,"(1598133.7600757196, 7773859.0015598079)","(1.7070600915157219, 45.161530245001778)",1.707060091515722,45.16153024500178
N2816,1583510.505062411,7767573.79119745,"(1583510.5050624111, 7767573.7911974499)","(1.5230498310929568, 45.102709870489029)",1.5230498310929568,45.10270987048903
N2817,1582044.0831812788,7767232.891363707,"(1582044.0831812788, 7767232.8913637074)","(1.5045472332972809, 45.099391885953509)",1.504547233297281,45.09939188595351
N2818,1583192.189883451,7765674.838943599,"(1583192.189883451, 7765674.8389435988)","(1.5194844741324678, 45.085607492799753)",1.5194844741324678,45.08560749279975
N2819,1583523.0654888977,7767028.980845507,"(1583523.0654888977, 7767028.9808455072)","(1.5233433866049386, 45.097821323047874)",1.5233433866049386,45.097821323047874
N2820,1600510.0222073123,7763468.985001739,"(1600510.0222073123, 7763468.9850017391)","(1.7394048656644603, 45.068612507669663)",1.7394048656644603,45.06861250766966
