,GeoPoint,Shape,x,y,node,xyGPS,xGPS,yGPS
LV15,"7778595.86291, 1598386.8352","[1598386.8352013002, 7778595.862906223]",1598386.8352,7778595.86291,N2603,"(1.7092494981043316, 45.204096774890445)",1.7092494981043316,45.204096774890445
LV16,"7778421.0428, 1596605.13411","[1596605.1341135488, 7778421.042802748]",1596605.13411,7778421.0428,N2604,"(1.6866601679044069, 45.202252814690418)",1.6866601679044069,45.20225281469042
LV17,"7771041.36307, 1589635.12248","[1589635.122484977, 7771041.363070313]",1589635.12248,7771041.36307,N2605,"(1.5998739508046909, 45.134880978290205)",1.5998739508046909,45.134880978290205
LV18,"7772295.73967, 1587629.0506","[1587629.0505978127, 7772295.739669118]",1587629.0506,7772295.73967,N2606,"(1.5741313204047791, 45.145806838290248)",1.574131320404779,45.14580683829025
LV19,"7771725.45274, 1589145.55775","[1589145.5577519082, 7771725.452741006]",1589145.55775,7771725.45274,N2607,"(1.5935038143047147, 45.140941107190208)",1.5935038143047147,45.14094110719021
LV20,"7768747.5567, 1587007.73183","[1587007.7318273527, 7768747.5566987125]",1587007.73183,7768747.5567,N2608,"(1.5670990101047984, 45.113848617090149)",1.5670990101047984,45.11384861709015
LV21,"7774873.36319, 1591651.58554","[1591651.5855320517, 7774873.363194315]",1591651.58554,7774873.36319,N2609,"(1.6245691451046107, 45.169614141290332)",1.6245691451046107,45.16961414129033
LV22,"7773743.81466, 1593043.40451","[1593043.404510195, 7773743.814664543]",1593043.40451,7773743.81466,N2610,"(1.6424902062045508, 45.159698267190301)",1.6424902062045508,45.1596982671903
LV23,"7782470.90481, 1583949.05844","[1583949.058436943, 7782470.904812387]",1583949.05844,7782470.90481,N2611,"(1.524939279404951, 45.236526112990546)",1.524939279404951,45.236526112990546
LV24,"7780090.34128, 1583614.66466","[1583614.6646654543, 7780090.341284184]",1583614.66466,7780090.34128,N2612,"(1.5212793625049628, 45.215094927190471)",1.5212793625049628,45.21509492719047
LV25,"7782265.76264, 1582033.01409","[1582033.014095451, 7782265.76264036]",1582033.01409,7782265.76264,N2613,"(1.5006432495050335, 45.234347284590513)",1.5006432495050335,45.23434728459051
LV26,"7765283.76728, 1585308.89741","[1585308.897405895, 7765283.7672758205]",1585308.89741,7765283.76728,N2614,"(1.5464015971048661, 45.082464148690057)",1.5464015971048661,45.08246414869006
LV27,"7765229.58859, 1584952.41142","[1584952.4114223474, 7765229.588588493]",1584952.41142,7765229.58859,N2615,"(1.541897779704881, 45.081916417590023)",1.541897779704881,45.08191641759002
LV28,"7764866.56059, 1585156.95265","[1585156.9526482974, 7764866.560584996]",1585156.95265,7764866.56059,N2616,"(1.5445776775048725, 45.078692814290029)",1.5445776775048725,45.07869281429003
LV29,"7763939.03534, 1597379.10599","[1597379.105991139, 7763939.035340561]",1597379.10599,7763939.03534,N2617,"(1.6996399927043537, 45.072358083790022)",1.6996399927043537,45.07235808379002
LV30,"7763809.09012, 1598438.35995","[1598438.3599478486, 7763809.09012389]",1598438.35995,7763809.09012,N2618,"(1.713087648104308, 45.071353605789973)",1.713087648104308,45.07135360578997
LV31,"7767776.50565, 1596306.69874","[1596306.698740789, 7767776.505649004]",1596306.69874,7767776.50565,N2619,"(1.6852116091044036, 45.106642116090093)",1.6852116091044036,45.10664211609009
LV32,"7766220.03248, 1594695.48168","[1594695.4816872675, 7766220.032477442]",1594695.48168,7766220.03248,N2620,"(1.6651332037044688, 45.092416762890061)",1.6651332037044688,45.09241676289006
LV33,"7768685.23144, 1593700.69236","[1593700.6923636561, 7768685.231437203]",1593700.69236,7768685.23144,N2621,"(1.6519708007045153, 45.114389735790148)",1.6519708007045153,45.11438973579015
LV34,"7767761.55464, 1595040.41267","[1595040.4126722924, 7767761.554638363]",1595040.41267,7767761.55464,N2622,"(1.6691622153044563, 45.10630979209013)",1.6691622153044563,45.10630979209013
LV35,"7761682.61812, 1590875.9718","[1590875.9717961394, 7761682.618124125]",1590875.9718,7761682.61812,N2623,"(1.6177737768046239, 45.051070853889925)",1.6177737768046239,45.051070853889925
LV36,"7761134.32484, 1589454.97574","[1589454.9757337084, 7761134.324837385]",1589454.97574,7761134.32484,N2624,"(1.5999067685046844, 45.045915211289923)",1.5999067685046844,45.04591521128992
LV37,"7770131.61997, 1579453.92481","[1579453.9248153511, 7770131.619967395]",1579453.92481,7770131.61997,N2625,"(1.4709777265051223, 45.124950481690171)",1.4709777265051223,45.12495048169017
LV38,"7787583.62272, 1585991.77847","[1585991.7784751588, 7787583.622724059]",1585991.77847,7787583.62272,N2626,"(1.5496554501048723, 45.282783271890679)",1.5496554501048723,45.28278327189068
LV39,"7787109.37165, 1585374.92329","[1585374.9232890292, 7787109.371651344]",1585374.92329,7787109.37165,N2627,"(1.5419259728048997, 45.278419085390681)",1.5419259728048997,45.27841908539068
LV40,"7787505.87679, 1586765.51692","[1586765.516917124, 7787505.876789018]",1586765.51692,7787505.87679,N2628,"(1.5595148828048413, 45.282217511090685)",1.5595148828048413,45.282217511090685
LV41,"7785581.97163, 1587312.2834","[1587312.2834030567, 7785581.971632512]",1587312.2834,7785581.97163,N2629,"(1.5669307381048152, 45.265036614190635)",1.5669307381048152,45.265036614190635
LV42,"7784158.95633, 1586811.7825","[1586811.7824993078, 7784158.956333531]",1586811.7825,7784158.95633,N2630,"(1.5609103121048347, 45.252175202290559)",1.5609103121048347,45.25217520229056
LV43,"7787299.99592, 1586140.01954","[1586140.019534606, 7787299.99592488]",1586140.01954,7787299.99592,N2631,"(1.5516096576048659, 45.280262127090666)",1.551609657604866,45.280262127090666
LV44,"7786835.15022, 1586993.76298","[1586993.7629869734, 7786835.150224925]",1586993.76298,7786835.15022,N2632,"(1.5625793043048299, 45.27623420119064)",1.56257930430483,45.27623420119064
LV45,"7760142.94517, 1592646.84344","[1592646.8434471132, 7760142.94516503]",1592646.84344,7760142.94517,N2633,"(1.6405489957045467, 45.037536745389879)",1.6405489957045467,45.03753674538988
LV46,"7761452.30387, 1592392.60511","[1592392.6051109824, 7761452.303865568]",1592392.60511,7761452.30387,N2634,"(1.6370325196045585, 45.049249563589917)",1.6370325196045585,45.04924956358992
LV47,"7789555.59498, 1585628.86177","[1585628.8617702944, 7789555.59498383]",1585628.86177,7789555.59498,N2635,"(1.5445588780048916, 45.300426512190732)",1.5445588780048916,45.30042651219073
LV48,"7778945.93839, 1587667.66165","[1587667.6616555334, 7778945.93839193]",1587667.66165,7778945.93839,N2636,"(1.573035179304789, 45.205516986590446)",1.573035179304789,45.205516986590446
LV49,"7783036.04737, 1588043.53879","[1588043.5387897359, 7783036.047374128]",1588043.53879,7783036.04737,N2637,"(1.5768349435047799, 45.24230188029054)",1.57683494350478,45.24230188029054
LV50,"7785217.34036, 1588041.23739","[1588041.2373903573, 7785217.3403586205]",1588041.23739,7785217.34036,N2638,"(1.5762857452047838, 45.261885949290622)",1.5762857452047838,45.26188594929062
LV51,"7781674.10465, 1588298.07718","[1588298.0771802769, 7781674.104645455]",1588298.07718,7781674.10465,N2639,"(1.5803935293047651, 45.230116821090505)",1.580393529304765,45.230116821090505
LV52,"7787292.10097, 1593181.31832","[1593181.318319446, 7787292.100972842]",1593181.31832,7787292.10097,N2640,"(1.6411626667045656, 45.281360285090663)",1.6411626667045656,45.28136028509066
LV53,"7786564.88811, 1589629.08771","[1589629.0877109792, 7786564.888107434]",1589629.08771,7786564.88811,N2641,"(1.5961560304047182, 45.274250470790662)",1.5961560304047182,45.27425047079066
LV54,"7780389.88566, 1594583.67934","[1594583.6793457293, 7780389.8856602665]",1594583.67934,7780389.88566,N2642,"(1.6605473627044953, 45.219612414490477)",1.6605473627044953,45.21961241449048
LV55,"7782383.2614, 1594870.86148","[1594870.8614816926, 7782383.261397836]",1594870.86148,7782383.2614,N2643,"(1.6637498532044874, 45.237555101090535)",1.6637498532044874,45.237555101090535
LV56,"7759971.44809, 1598199.83908","[1598199.8390821707, 7759971.448091794]",1598199.83908,7759971.44809,N2644,"(1.7108915325043113, 45.03686690068988)",1.7108915325043113,45.03686690068988
LV57,"7760010.21133, 1598801.8679","[1598801.867895269, 7760010.211325057]",1598801.8679,7760010.21133,N2645,"(1.7185053627042872, 45.037306378589875)",1.7185053627042872,45.037306378589875
LV58,"7789095.27642, 1588205.86561","[1588205.8656151937, 7789095.276417589]",1588205.86561,7789095.27642,N2646,"(1.5774547820047811, 45.296732082890713)",1.577454782004781,45.29673208289071
LV59,"7789681.14256, 1587495.76767","[1587495.7676630567, 7789681.14256175]",1587495.76767,7789681.14256,N2647,"(1.5682805648048126, 45.301872556790734)",1.5682805648048126,45.301872556790734
LV60,"7788605.24276, 1588172.13564","[1588172.1356334998, 7788605.242755834]",1588172.13564,7788605.24276,N2648,"(1.5771425357047828, 45.292326530590714)",1.5771425357047828,45.292326530590714
LV61,"7778170.50753, 1580085.60244","[1580085.6024401886, 7778170.507534227]",1580085.60244,7778170.50753,N2649,"(1.4769424261051094, 45.197232546990428)",1.4769424261051094,45.19723254699043
LV62,"7765807.45403, 1599577.58771","[1599577.5877073996, 7765807.45402872]",1599577.58771,7765807.45403,N2650,"(1.7270958214042615, 45.089465780990054)",1.7270958214042615,45.089465780990054
LV63,"7765276.90821, 1600707.94838","[1600707.9483841364, 7765276.908212624]",1600707.94838,7765276.90821,N2651,"(1.741532537504213, 45.084872112490054)",1.741532537504213,45.084872112490054
LV64,"7765594.08257, 1600656.79095","[1600656.7909466564, 7765594.08257289]",1600656.79095,7765594.08257,N2652,"(1.7408175943042172, 45.08771186699007)",1.7408175943042172,45.08771186699007
LV65,"7766551.94088, 1599875.06252","[1599875.062520754, 7766551.940877506]",1599875.06252,7766551.94088,N2653,"(1.7307079936042518, 45.096194008390086)",1.7307079936042518,45.096194008390086
LV66,"7763310.49263, 1587736.72959","[1587736.729590433, 7763310.492625138]",1587736.72959,7763310.49263,N2654,"(1.57763325760476, 45.065163293289999)",1.57763325760476,45.06516329329
LV67,"7760084.52991, 1589814.89295","[1589814.892950743, 7760084.529908165]",1589814.89295,7760084.52991,N2655,"(1.6047085711046667, 45.03655109048988)",1.6047085711046667,45.03655109048988
LV68,"7761846.27045, 1587850.04809","[1587850.0480921306, 7761846.270454945]",1587850.04809,7761846.27045,N2656,"(1.579415768504755, 45.052038427689972)",1.579415768504755,45.05203842768997
LV69,"7776469.89155, 1582052.87672","[1582052.8767251216, 7776469.89154955]",1582052.87672,7776469.89155,N2657,"(1.5023487099050237, 45.182316437790362)",1.5023487099050237,45.18231643779036
LV70,"7776139.08905, 1581856.30465","[1581856.3046426768, 7776139.089046846]",1581856.30465,7776139.08905,N2658,"(1.4999363435050312, 45.179311777690366)",1.4999363435050312,45.179311777690366
LV71,"7778715.52026, 1583022.13392","[1583022.1339227606, 7778715.52026006]",1583022.13392,7778715.52026,N2659,"(1.5140948018049847, 45.202648070090419)",1.5140948018049847,45.20264807009042
LV72,"7776710.70928, 1580348.66629","[1580348.6662849349, 7776710.7092810115]",1580348.66629,7776710.70928,N2660,"(1.480653788805095, 45.18417434559035)",1.480653788805095,45.18417434559035
LV73,"7776692.36672, 1586286.9413","[1586286.941299096, 7776692.3667157665]",1586286.9413,7776692.36672,N2661,"(1.5560444482048428, 45.185050298690378)",1.5560444482048428,45.18505029869038
LV74,"7776288.09898, 1584033.57718","[1584033.5771824198, 7776288.098982139]",1584033.57718,7776288.09898,N2662,"(1.527537356804938, 45.181032265390364)",1.527537356804938,45.181032265390364
LV75,"7775692.57195, 1582566.60602","[1582566.6060218362, 7775692.571949242]",1582566.60602,7775692.57195,N2663,"(1.5090640024050006, 45.175428770990351)",1.5090640024050006,45.17542877099035
LV76,"7776756.66751, 1581291.65161","[1581291.6516154457, 7776756.667506483]",1581291.65161,7776756.66751,N2664,"(1.4926131778050558, 45.184755726090366)",1.4926131778050558,45.184755726090366
LV77,"7777232.49499, 1581735.62057","[1581735.6205726627, 7777232.494990585]",1581735.62057,7777232.49499,N2665,"(1.4981298082050378, 45.189106541490389)",1.4981298082050378,45.18910654149039
LV78,"7777725.95178, 1592077.07456","[1592077.0745608518, 7777725.9517810745]",1592077.07456,7777725.95178,N2666,"(1.6293155919045972, 45.195293483890403)",1.6293155919045972,45.1952934838904
LV79,"7786953.22871, 1578462.4811","[1578462.4811009231, 7786953.228707587]",1578462.4811,7786953.22871,N2667,"(1.4540611697051948, 45.275789085890672)",1.4540611697051948,45.27578908589067
LV80,"7773102.80609, 1579016.35164","[1579016.3516365828, 7773102.806089118]",1579016.35164,7773102.80609,N2668,"(1.4646669149051474, 45.151543999990274)",1.4646669149051474,45.151543999990274
LV81,"7776334.8682, 1591370.1425","[1591370.1424987554, 7776334.868199806]",1591370.1425,7776334.8682,N2669,"(1.6206600846046271, 45.182689440290353)",1.620660084604627,45.18268944029035
LV82,"7767676.05436, 1581003.63783","[1581003.63782409, 7767676.054363876]",1581003.63783,7767676.05436,N2670,"(1.4912482103050526, 45.10318529089011)",1.4912482103050526,45.10318529089011
LV83,"7774244.19629, 1580873.34246","[1580873.3424549443, 7774244.196289929]",1580873.34246,7774244.19629,N2671,"(1.4879381611050693, 45.162125290990289)",1.4879381611050693,45.16212529099029
LV84,"7769753.11018, 1600012.73458","[1600012.7345844102, 7769753.110182473]",1600012.73458,7769753.11018,N2672,"(1.7317750676042487, 45.124953147890182)",1.7317750676042487,45.12495314789018
LV85,"7773242.20217, 1582056.55221","[1582056.5522086862, 7773242.202166514]",1582056.55221,7773242.20217,N2673,"(1.503203330605017, 45.15334052569029)",1.503203330605017,45.15334052569029
LV86,"7773678.53206, 1588047.14009","[1588047.1400901482, 7773678.532057502]",1588047.14009,7773678.53206,N2674,"(1.5791068240047637, 45.158291278290271)",1.5791068240047637,45.15829127829027
LV87,"7771778.73, 1579435.05319","[1579435.0531927864, 7771778.729998468]",1579435.05319,7771778.73,N2675,"(1.4703175049051269, 45.139733364390224)",1.470317504905127,45.139733364390224
LV88,"7777526.90242, 1582213.88627","[1582213.8862772284, 7777526.902417702]",1582213.88627,7777526.90242,N2676,"(1.504128193405017, 45.191834423890398)",1.504128193405017,45.1918344238904
LV89,"7772176.43169, 1580900.78549","[1580900.7854970575, 7772176.431690722]",1580900.78549,7772176.43169,N2677,"(1.4888087890050661, 45.143567186390229)",1.488808789005066,45.14356718639023
LV90,"7787021.78094, 1578010.86131","[1578010.8613157615, 7787021.780941409]",1578010.86131,7787021.78094,N2678,"(1.4483004108052124, 45.276321830490673)",1.4483004108052124,45.27632183049067
LV91,"7769710.06763, 1591608.22546","[1591608.225462365, 7769710.0676314505]",1591608.22546,7769710.06763,N2679,"(1.6252057004046065, 45.123253166390192)",1.6252057004046065,45.12325316639019
LV92,"7774229.75913, 1586680.55974","[1586680.5597391264, 7774229.759132622]",1586680.55974,7774229.75913,N2680,"(1.5616339252048235, 45.163008899690297)",1.5616339252048235,45.1630088996903
LV93,"7763633.348, 1580863.62184","[1580863.6218417427, 7763633.34800331]",1580863.62184,7763633.348,N2681,"(1.4904924894050513, 45.066869925990005)",1.4904924894050513,45.066869925990005
LV94,"7787177.24005, 1593731.48421","[1593731.4842164034, 7787177.240050979]",1593731.48421,7787177.24005,N2682,"(1.6481858434045431, 45.280417177090669)",1.648185843404543,45.28041717709067
LV95,"7756981.34908, 1597749.95188","[1597749.9518758063, 7756981.349077459]",1597749.95188,7756981.34908,N2683,"(1.705841074204326, 45.009957005289806)",1.705841074204326,45.009957005289806
LV96,"7769813.94084, 1587238.53629","[1587238.5362865345, 7769813.940842326]",1587238.53629,7769813.94084,N2684,"(1.5697704976047906, 45.123460861590168)",1.5697704976047906,45.12346086159017
LV97,"7780166.68692, 1597076.12328","[1597076.123275514, 7780166.686917952]",1597076.12328,7780166.68692,N2685,"(1.6922596409043904, 45.217998669490484)",1.6922596409043904,45.217998669490484
LV98,"7769570.27487, 1594094.55238","[1594094.552381538, 7769570.274867816]",1594094.55238,7769570.27487,N2686,"(1.6567659039045002, 45.122397810890178)",1.6567659039045002,45.12239781089018
LV99,"7770956.86131, 1593474.25428","[1593474.2542734814, 7770956.861309052]",1593474.25428,7770956.86131,N2687,"(1.6485870784045287, 45.134747035090207)",1.6485870784045287,45.13474703509021
LV100,"7773895.60611, 1584935.44139","[1584935.4413851344, 7773895.606114432]",1584935.44139,7773895.60611,N2688,"(1.5395701087048947, 45.1597098718903)",1.5395701087048947,45.1597098718903
LV101,"7769419.47156, 1590960.93928","[1590960.9392785702, 7769419.471563841]",1590960.93928,7769419.47156,N2689,"(1.6170647497046338, 45.120538822790166)",1.6170647497046338,45.12053882279017
LV102,"7761459.41751, 1585419.28639","[1585419.2863857963, 7761459.417513582]",1585419.28639,7761459.41751,N2690,"(1.5487268139048553, 45.048153026589922)",1.5487268139048553,45.04815302658992
LV103,"7756882.09076, 1596562.91919","[1596562.9191974173, 7756882.090761932]",1596562.91919,7756882.09076,N2691,"(1.6908416570043772, 45.008883291089795)",1.6908416570043772,45.008883291089795
LV104,"7769820.1435, 1590370.77464","[1590370.7746365133, 7769820.1435017185]",1590370.77464,7769820.1435,N2692,"(1.6094883308046599, 45.124039006190188)",1.60948833080466,45.12403900619019
LV105,"7773257.96335, 1584471.23215","[1584471.2321557773, 7773257.963348316]",1584471.23215,7773257.96335,N2693,"(1.5338359884049142, 45.153905108990273)",1.5338359884049142,45.15390510899027
LV106,"7770181.64779, 1585954.54652","[1585954.546524912, 7770181.647792236]",1585954.54652,7770181.64779,N2694,"(1.5533998500048469, 45.126543433690173)",1.553399850004847,45.12654343369017
LV107,"7781190.07845, 1582790.29629","[1582790.2962933914, 7781190.078451626]",1582790.29629,7781190.07845,N2695,"(1.5105340139049983, 45.224823623490522)",1.5105340139049983,45.22482362349052
LV108,"7767550.42844, 1580255.42013","[1580255.420127016, 7767550.428438963]",1580255.42013,7767550.42844,N2696,"(1.4817959486050847, 45.101923636390126)",1.4817959486050847,45.101923636390126
LV109,"7761622.22187, 1581964.07065","[1581964.0706515831, 7761622.22186511]",1581964.07065,7761622.22187,N2697,"(1.5049337805050036, 45.049012493089926)",1.5049337805050036,45.049012493089926
LV110,"7781574.7846, 1594260.75","[1594260.7500067684, 7781574.784601512]",1594260.75,7781574.7846,N2698,"(1.6561784961045121, 45.2301995713905)",1.656178496104512,45.2301995713905
LV111,"7782794.26854, 1593028.57353","[1593028.573535432, 7782794.2685368415]",1593028.57353,7782794.26854,N2699,"(1.6402447459045657, 45.240951557990513)",1.6402447459045657,45.24095155799051
LV112,"7785517.67495, 1592966.57541","[1592966.575412678, 7785517.674948361]",1592966.57541,7785517.67495,N2700,"(1.6388361935045732, 45.265393729290615)",1.6388361935045732,45.265393729290615
LV113,"7781716.15653, 1582488.3253","[1582488.325302796, 7781716.156533646]",1582488.3253,7781716.15653,N2701,"(1.5065661478050134, 45.229493487290512)",1.5065661478050134,45.22949348729051
LV114,"7775291.43846, 1592191.60996","[1592191.6099615998, 7775291.438460411]",1592191.60996,7775291.43846,N2702,"(1.6313273319045887, 45.173455173490339)",1.6313273319045887,45.17345517349034
LV115,"7764249.878, 1580677.94743","[1580677.9474245347, 7764249.878003864]",1580677.94743,7764249.878,N2703,"(1.4879849732050614, 45.072371104890017)",1.4879849732050614,45.07237110489002
LV116,"7764927.81179, 1594361.34936","[1594361.3493648588, 7764927.8117924435]",1594361.34936,7764927.81179,N2704,"(1.6611873844044811, 45.080763479490031)",1.661187384404481,45.08076347949003
LV117,"7764367.0475, 1593855.31289","[1593855.312897637, 7764367.047496797]",1593855.31289,7764367.0475,N2705,"(1.6549013734045031, 45.075649152190024)",1.654901373404503,45.075649152190024
LV118,"7762128.71726, 1593176.24001","[1593176.2400049602, 7762128.717260136]",1593176.24001,7762128.71726,N2706,"(1.6468033179045289, 45.055447451089961)",1.646803317904529,45.05544745108996
LV119,"7762879.5419, 1592526.95546","[1592526.9554634497, 7762879.541903388]",1592526.95546,7762879.5419,N2707,"(1.6384096540045576, 45.062083272889979)",1.6384096540045576,45.06208327288998
LV120,"7778606.48327, 1597616.29911","[1597616.299111171, 7778606.483266878]",1597616.29911,7778606.48327,N2708,"(1.6994612899043644, 45.204074045490415)",1.6994612899043644,45.204074045490415
LV121,"7769038.79771, 1588695.09718","[1588695.0971839183, 7769038.797708469]",1588695.09718,7769038.79771,N2709,"(1.5884235424047273, 45.116746970590157)",1.5884235424047273,45.11674697059016
LV122,"7769693.33189, 1588911.80783","[1588911.8078252203, 7769693.331890359]",1588911.80783,7769693.33189,N2710,"(1.59101720490472, 45.122659051490174)",1.59101720490472,45.122659051490174
LV123,"7772912.1161, 1588706.77264","[1588706.772639289, 7772912.116095374]",1588706.77264,7772912.1161,N2711,"(1.5876578155047356, 45.151521245690269)",1.5876578155047356,45.15152124569027
LV124,"7772519.79317, 1587441.48128","[1587441.4812816211, 7772519.793174591]",1587441.48128,7772519.79317,N2712,"(1.5716983420047863, 45.147786614690276)",1.5716983420047863,45.147786614690276
LV125,"7771969.05881, 1588608.32583","[1588608.3258323898, 7771969.058811098]",1588608.32583,7771969.05881,N2713,"(1.5866315707047378, 45.143038488990221)",1.5866315707047378,45.14303848899022
LV126,"7773027.91842, 1587888.74783","[1587888.747826279, 7773027.918422479]",1587888.74783,7773027.91842,N2714,"(1.5772517353047679, 45.152423720390267)",1.577251735304768,45.15242372039027
LV127,"7770792.73587, 1588642.54907","[1588642.5490714936, 7770792.735865728]",1588642.54907,7770792.73587,N2715,"(1.5873434105047333, 45.132483853490186)",1.5873434105047333,45.132483853490186
LV128,"7772136.19699, 1589602.31514","[1589602.3151395032, 7772136.196986072]",1589602.31514,7772136.19699,N2716,"(1.5992015803046951, 45.144704386390231)",1.599201580304695,45.14470438639023
LV129,"7775942.63939, 1592917.29116","[1592917.2911605542, 7775942.639394673]",1592917.29116,7775942.63939,N2717,"(1.6403901353045616, 45.179418650290366)",1.6403901353045616,45.179418650290366
LV130,"7774486.75998, 1589725.92456","[1589725.924561645, 7774486.759976677]",1589725.92456,7774486.75998,N2718,"(1.6002197823046931, 45.165827286190307)",1.600219782304693,45.16582728619031
LV131,"7773202.99489, 1593230.33745","[1593230.3374486337, 7773202.994890342]",1593230.33745,7773202.99489,N2719,"(1.6449847894045435, 45.154872925390265)",1.6449847894045435,45.154872925390265
LV132,"7781909.80986, 1584890.57753","[1584890.5775355627, 7781909.809858602]",1584890.57753,7781909.80986,N2720,"(1.5370408629049102, 45.231652128690541)",1.5370408629049102,45.23165212869054
LV133,"7781040.1866, 1583097.69916","[1583097.699159923, 7781040.18660482]",1583097.69916,7781040.1866,N2721,"(1.5144766677049868, 45.223531979490495)",1.5144766677049868,45.223531979490495
LV134,"7789414.16752, 1581928.71568","[1581928.7156811068, 7789414.167521308]",1581928.71568,7789414.16752,N2722,"(1.4975200243050515, 45.298509379190733)",1.4975200243050515,45.29850937919073
LV135,"7765898.98448, 1586603.79165","[1586603.791646527, 7765898.984482291]",1586603.79165,7765898.98448,N2723,"(1.5626615695048114, 45.08820824959006)",1.5626615695048114,45.08820824959006
LV136,"7765556.66351, 1586457.53178","[1586457.53178026, 7765556.66350896]",1586457.53178,7765556.66351,N2724,"(1.560890360304819, 45.085110380990074)",1.560890360304819,45.08511038099007
LV137,"7765444.58727, 1586834.98477","[1586834.9847630982, 7765444.587271153]",1586834.98477,7765444.58727,N2725,"(1.5657001351048034, 45.084168414690076)",1.5657001351048034,45.084168414690076
LV138,"7775293.742, 1590899.19514","[1590899.1951400333, 7775293.741999699]",1590899.19514,7775293.742,N2726,"(1.6149226703046458, 45.173265387090353)",1.6149226703046458,45.17326538709035
LV139,"7774912.78545, 1589278.32605","[1589278.3260490086, 7774912.785452533]",1589278.32605,7774912.78545,N2727,"(1.5944393070047129, 45.16957776249032)",1.594439307004713,45.16957776249032
LV140,"7774471.25296, 1587876.91888","[1587876.9188775893, 7774471.252956687]",1587876.91888,7774471.25296,N2728,"(1.5767583001047734, 45.165379391090305)",1.5767583001047734,45.165379391090305
LV141,"7773628.70739, 1587095.88524","[1587095.885237325, 7773628.707385192]",1587095.88524,7773628.70739,N2729,"(1.567048394204805, 45.157683436090295)",1.567048394204805,45.157683436090295
LV142,"7775093.60421, 1591250.83333","[1591250.8333282128, 7775093.604207225]",1591250.83333,7775093.60421,N2730,"(1.6194320700046305, 45.171526102890326)",1.6194320700046305,45.171526102890326
LV143,"7776912.29486, 1588320.49575","[1588320.49575147, 7776912.294863129]",1588320.49575,7776912.29486,N2731,"(1.5818087811047581, 45.187368968390366)",1.581808781104758,45.187368968390366
LV144,"7775557.97722, 1586774.94775","[1586774.9477484194, 7775557.977224201]",1586774.94775,7775557.97722,N2732,"(1.5625125126048212, 45.174949215490329)",1.5625125126048212,45.17494921549033
LV145,"7775688.13956, 1586786.20796","[1586786.2079529199, 7775688.1395600205]",1586786.20796,7775688.13956,N2733,"(1.5626241513048207, 45.176119687790354)",1.5626241513048207,45.176119687790354
